ปี,เดือน,วัน,country.2,ค่า
2019,มกราคม,1,กรุงเทพมหานคร,15
2019,มกราคม,2,กรุงเทพมหานคร,21
2019,มกราคม,3,กรุงเทพมหานคร,24
2019,มกราคม,4,กรุงเทพมหานคร,27
2019,มกราคม,5,กรุงเทพมหานคร,33
2019,มกราคม,6,กรุงเทพมหานคร,62
2019,มกราคม,7,กรุงเทพมหานคร,65
2019,มกราคม,8,กรุงเทพมหานคร,19
2019,มกราคม,9,กรุงเทพมหานคร,22
2019,มกราคม,10,กรุงเทพมหานคร,37
2019,มกราคม,11,กรุงเทพมหานคร,62
2019,มกราคม,12,กรุงเทพมหานคร,52
2019,มกราคม,13,กรุงเทพมหานคร,63
2019,มกราคม,14,กรุงเทพมหานคร,58
2019,มกราคม,15,กรุงเทพมหานคร,48
2019,มกราคม,16,กรุงเทพมหานคร,38
2019,มกราคม,17,กรุงเทพมหานคร,45
2019,มกราคม,18,กรุงเทพมหานคร,26
2019,มกราคม,19,กรุงเทพมหานคร,39
2019,มกราคม,20,กรุงเทพมหานคร,50
2019,มกราคม,21,กรุงเทพมหานคร,57
2019,มกราคม,22,กรุงเทพมหานคร,40
2019,มกราคม,23,กรุงเทพมหานคร,41
2019,มกราคม,24,กรุงเทพมหานคร,48
2019,มกราคม,25,กรุงเทพมหานคร,60
2019,มกราคม,26,กรุงเทพมหานคร,51
2019,มกราคม,27,กรุงเทพมหานคร,40
2019,มกราคม,28,กรุงเทพมหานคร,55
2019,มกราคม,29,กรุงเทพมหานคร,65
2019,มกราคม,30,กรุงเทพมหานคร,79
2019,มกราคม,31,กรุงเทพมหานคร,58
2019,กุมภาพันธ์,1,กรุงเทพมหานคร,32
2019,กุมภาพันธ์,2,กรุงเทพมหานคร,29
2019,กุมภาพันธ์,3,กรุงเทพมหานคร,21
2019,กุมภาพันธ์,4,กรุงเทพมหานคร,20
2019,กุมภาพันธ์,5,กรุงเทพมหานคร,20
2019,กุมภาพันธ์,6,กรุงเทพมหานคร,12
2019,กุมภาพันธ์,7,กรุงเทพมหานคร,16
2019,กุมภาพันธ์,8,กรุงเทพมหานคร,14
2019,กุมภาพันธ์,9,กรุงเทพมหานคร,9
2019,กุมภาพันธ์,10,กรุงเทพมหานคร,13
2019,กุมภาพันธ์,11,กรุงเทพมหานคร,16
2019,กุมภาพันธ์,12,กรุงเทพมหานคร,24
